3 machines found
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
CRF loss
Parsing training data: ../data/train_petsc.txt
Parsing test data: ../data/test_petsc.txt
Data loading completed
====================  Summary of settings =================
Training data: ../data/train_petsc.txt
Test data: ../data/test_petsc.txt
loss: CRF, lambda: 1.000000e-03, Processors: 3
dim: 129, classes: 26
Train: #word=3438, #letter=25953
Test: #word=3439, #letter=26198
===========================================================
iter	func.val	gap time	feval.num	nfuncs	train_lett_err	train_word_err	test_lett_err	test_word_err
0	24.5949329	4.55704418	0.521893978	1	92.309174	100.000000	93.091357	100.000000
1	20.2619527	5.09500228	2.1071229	3	71.379031	100.000000	72.095711	100.000000
2	17.4280532	3.65686478	2.90276504	4	66.662814	99.825480	67.009594	99.883687
3	15.3063722	2.66873138	3.70153904	5	53.442762	97.643979	54.005317	97.702821
4	13.2139426	2.13033316	4.48281908	6	45.382037	96.160558	46.075598	95.347485
5	10.8951126	2.51806306	5.28561425	7	39.675567	91.826643	40.808384	92.294272
6	9.33821858	1.17139586	6.07544017	8	33.791855	87.056428	34.978615	87.699913
7	8.76213396	0.87446294	6.86494994	9	31.568605	84.293194	32.632066	85.228264
8	7.90650424	0.849892316	7.6622529	10	28.570878	80.424666	29.638192	81.942425
9	7.31265051	1.54717585	8.45745993	11	27.129812	77.370564	28.385928	78.016865
10	6.80867555	0.727934637	9.26300693	12	24.594459	73.007563	25.892960	74.498401
11	6.55849771	0.543436661	10.037261	13	23.746773	72.280396	24.925827	73.131724
12	6.09901315	0.617724467	10.8437362	14	22.271028	69.517161	23.692829	71.997674
13	5.65448815	0.844220161	11.653161	15	21.122799	67.510180	22.644781	70.543763
14	5.31973301	0.718310721	12.3957682	16	20.321350	65.997673	22.143875	69.845885
15	5.09415848	0.385451088	13.1688602	17	19.261742	63.496219	21.068855	67.432393
16	4.88937395	0.354637434	13.954972	18	18.514237	61.198371	20.375294	65.047979
17	4.72372085	0.379907486	14.7524712	19	17.882326	59.045957	19.793473	63.681303
18	4.55585531	0.764807791	15.5459673	20	17.412245	58.318790	20.055485	63.216051
19	4.35403543	0.297149362	16.3412473	21	16.395022	55.206515	19.011290	60.831637
20	4.26132162	0.24339003	17.1094322	22	16.063654	54.333915	18.691481	60.453620
21	4.15526594	0.30494721	17.8544183	23	15.747698	53.723095	18.333141	60.075603
22	4.07968936	0.539437258	18.6069412	24	15.558895	53.257708	18.040304	59.406804
23	3.98527167	0.222493701	19.363378	25	14.942396	51.890634	17.508573	58.214597
24	3.92600633	0.195137412	20.175252	26	14.672678	50.988947	17.547104	58.243675
25	3.86208588	0.236679581	20.9933708	27	14.364428	50.116347	17.084730	57.080547
26	3.80221741	0.486134475	21.7958648	28	14.214156	49.214660	17.127114	56.673452
27	3.73147037	0.186337461	22.5919907	29	13.439679	47.585806	16.703271	55.452166
28	3.70122014	0.152199183	23.3933039	30	13.297114	47.149506	16.441259	54.667054
