4 machines found
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
CRF loss
Parsing training data: ../data/train_petsc.txt
Parsing test data: ../data/test_petsc.txt
Data loading completed
====================  Summary of settings =================
Training data: ../data/train_petsc.txt
Test data: ../data/test_petsc.txt
loss: CRF, lambda: 1.000000e-04, Processors: 4
dim: 129, classes: 26
Train: #word=3438, #letter=25953
Test: #word=3439, #letter=26198
===========================================================
iter	func.val	gap time	feval.num	nfuncs	train_lett_err	train_word_err	test_lett_err	test_word_err
0	24.5949329	4.55704418	0.363559961	1	92.309174	100.000000	93.091357	100.000000
1	20.2607375	5.09781768	1.463166	3	71.379031	100.000000	72.099565	100.000000
2	17.4237086	3.66111382	2.01622105	4	66.662814	99.825480	67.013447	99.883687
3	15.2976702	2.67229428	2.5759871	5	53.446615	97.673066	54.020730	97.702821
4	13.1970477	2.13494509	3.13494611	6	45.397449	96.160558	46.094864	95.347485
5	10.8561662	2.52542479	3.72089815	7	39.702539	91.855730	40.827650	92.294272
6	9.27208175	1.17395507	4.28505898	8	33.788001	87.056428	34.959350	87.641756
7	8.68055522	0.877850628	4.92499113	9	31.518514	84.293194	32.601241	85.199186
8	7.80125982	0.853216196	5.48665619	10	28.532347	80.453752	29.622780	81.942425
9	7.17733535	1.54357246	6.05525327	11	27.133665	77.254218	28.370516	78.016865
10	6.65408865	0.732757847	6.64825034	12	24.548222	72.833042	25.842870	74.411166
11	6.39179941	0.543846276	7.20758629	13	23.646592	71.931355	24.864178	73.044490
12	5.90240529	0.616735986	7.76665831	14	22.228644	69.371728	23.688976	72.055830
13	5.41772849	0.844458896	8.32798719	15	21.080415	67.219314	22.637075	70.485606
14	5.04153833	0.723752496	8.8861022	16	20.386853	65.823153	22.267175	69.962198
15	4.79228883	0.389108192	9.44383717	17	19.277155	63.699825	21.153624	67.374237
16	4.56300429	0.364228186	10.005069	18	18.552768	61.140198	20.367588	65.164292
17	4.36119642	0.387010689	10.5722001	19	17.778292	58.842350	19.812738	63.506833
18	4.14852983	0.710746715	11.126658	20	17.624167	58.464223	20.190344	63.332364
19	3.89724093	0.29262814	11.6930518	21	16.317959	55.090169	19.123030	61.064263
20	3.77817202	0.242128846	12.2571378	22	16.028975	54.246655	18.768543	60.715324
21	3.65674319	0.377522712	12.8163519	23	15.847879	53.519488	18.595153	60.860715
22	3.54935076	0.449958917	13.3739839	24	15.547336	53.083188	18.348553	60.104682
23	3.46183762	0.24398718	13.9342039	25	15.123492	52.006981	17.970947	59.435883
24	3.34341856	0.251489761	14.4958069	26	14.664971	50.378127	17.550958	58.127363
25	3.25702439	0.253213474	15.0526149	27	14.406812	50.232693	17.300505	57.313172
26	3.17579758	0.476815693	15.6266358	28	13.971410	48.342059	17.443070	56.528060
27	3.07344916	0.181235647	16.1917529	29	13.358764	46.829552	16.899780	55.684792
28	3.01783069	0.188529179	16.751174	30	13.027396	46.218732	16.591531	54.608898
29	2.93606407	0.242609923	17.312156	31	12.803915	45.869692	16.402728	54.259959
30	2.91746049	0.52478662	17.8883259	32	12.965746	45.782432	16.491350	53.794708
31	2.82717238	0.1822481	18.454524	33	12.518784	45.055265	16.071360	52.951439
32	2.79811604	0.123363096	19.0107858	34	12.268331	44.589878	16.005857	53.067752
33	2.75959548	0.171569727	19.5778508	35	12.214388	44.182664	16.002004	52.951439
34	2.70455246	0.22872427	20.1933587	36	12.033291	43.862711	15.867144	52.398953
35	2.65906549	0.206380375	20.7544827	37	11.948522	43.862711	16.094478	53.125909
36	2.62468509	0.103042986	21.3122098	38	11.705776	42.902850	15.978885	52.922361
37	2.59355633	0.136514162	21.8732178	39	11.351289	41.826643	15.782376	52.311719
38	2.56085567	0.137535692	22.4381168	40	11.474589	41.681210	15.790082	51.933702
39	2.53288523	0.298113097	23.00664	41	11.470736	41.273997	15.840173	51.323059
40	2.50353907	0.144204978	23.6153648	42	11.185605	40.779523	15.693754	50.799651
41	2.48967906	0.0963050836	24.1758599	43	11.127808	40.517743	15.477979	50.508869
42	2.47115347	0.0946868934	24.7385759	44	11.004508	40.226876	15.408623	50.625182
43	2.44295112	0.151010072	25.3020289	45	10.912033	40.314136	15.474126	50.596104
44	2.42005533	0.16250699	25.8696787	46	10.765615	40.546830	15.312295	50.683338
45	2.40171317	0.0794450304	26.4384217	47	10.592224	39.994183	15.231380	50.683338
46	2.38608189	0.0761223135	27.0029128	48	10.476631	39.732403	15.185142	50.625182
47	2.37300406	0.0855119169	27.5676687	49	10.461218	39.616056	15.177436	50.567025
48	2.36323977	0.193258589	28.1359897	50	10.495896	38.947062	15.154317	50.421634
49	2.34425332	0.077561175	28.7457497	51	10.310947	38.801629	15.088814	50.392556
50	2.33657744	0.0628479339	29.3107786	52	10.210766	38.772542	15.069549	50.218087
51	2.32661833	0.0824947529	29.8728397	53	10.114438	38.743455	15.042577	50.247165
52	2.31381945	0.164201878	30.4344406	54	10.187647	38.888889	15.011752	50.450712
53	2.30153307	0.0725086858	30.9921205	55	10.002697	38.510762	14.915424	50.218087
54	2.29403671	0.0556100469	31.5640025	56	9.968019	38.219895	14.900012	49.985461
55	2.28722829	0.0634085554	32.1332796	57	9.902516	37.929029	14.907718	50.130852
56	2.278963	0.122489322	32.6956835	58	9.871691	37.929029	14.880746	50.043617
57	2.26997461	0.05505422	33.2600086	59	9.802335	37.289122	14.857627	50.072696
58	2.26416032	0.0500891869	33.8163388	60	9.790776	37.347295	14.838362	49.927304
59	2.2542555	0.0684087293	34.3745956	61	9.817747	37.521815	14.792124	49.752835
60	2.24914969	0.0813593421	35.5253046	63	9.679035	37.201862	14.780565	49.578366
61	2.24295269	0.0544528642	36.0893016	64	9.671329	37.056428	14.703502	49.491131
62	2.23593886	0.0466362886	36.6502566	65	9.594267	36.794648	14.618734	49.113114
63	2.23252142	0.0785661732	37.2226956	66	9.609679	37.056428	14.657265	49.200349
64	2.22879762	0.0429850799	37.7797525	67	9.524910	36.852821	14.618734	48.967723
65	2.22390859	0.0512985251	38.3403146	68	9.532617	36.794648	14.518553	48.647863
66	2.21838227	0.0635773114	38.8983736	69	9.555735	36.998255	14.526259	48.706019
67	2.21408409	0.0945676324	40.0058734	71	9.509498	36.852821	14.510847	48.589706
68	2.20805788	0.0463920941	40.5728705	72	9.555735	36.998255	14.495434	48.764176
69	2.20501641	0.0304342803	41.1437564	73	9.440142	36.823735	14.533965	48.793254
70	2.20170642	0.0400362117	41.7211444	74	9.478673	36.940081	14.510847	48.880489
71	2.19839606	0.0537906247	42.2873554	75	9.324548	36.503781	14.503140	48.706019
72	2.19453534	0.0519399871	42.8451004	76	9.282164	36.329261	14.483875	48.647863
73	2.1910458	0.0536508556	43.4066374	77	9.220514	36.329261	14.518553	48.676941
74	2.18862141	0.0372577812	43.9681435	78	9.185836	36.212914	14.537818	48.647863
75	2.18580585	0.0304284793	44.5273454	79	9.178130	36.242001	14.553231	48.647863
76	2.18282306	0.0438655561	45.0933185	80	9.039417	35.834788	14.522406	48.676941
77	2.17958212	0.0400592148	45.6590445	81	8.977768	35.573008	14.587909	48.822332
78	2.17743722	0.031374608	46.2182946	82	8.931530	35.485748	14.541671	48.764176
79	2.17506916	0.0312830707	46.7815425	83	8.981621	35.514834	14.506993	48.676941
80	2.17329258	0.0318812883	47.3447905	84	8.950796	35.456661	14.587909	48.880489
81	2.17110599	0.0309950749	47.9152036	85	8.989327	35.514834	14.564790	48.793254
82	2.16894708	0.0338008963	48.4838576	86	8.943089	35.427574	14.526259	48.822332
83	2.16712828	0.0278438308	49.1135406	87	8.908411	35.427574	14.549378	48.822332
84	2.16537919	0.0248902322	49.6870875	88	8.854468	35.136707	14.591762	48.967723
85	2.16369812	0.0328535633	50.2581255	89	8.869880	35.165794	14.514700	48.938645
86	2.16216224	0.0274711866	50.8182414	90	8.839055	34.991274	14.449197	48.706019
87	2.16089336	0.0211725972	51.3788354	91	8.800524	34.758581	14.441490	48.589706
88	2.15969501	0.0279814542	51.9424334	92	8.823643	34.787667	14.526259	48.793254
89	2.15859769	0.0270675448	52.5059364	93	8.815937	34.845841	14.460756	48.531550
90	2.15757936	0.0187856852	53.0827534	94	8.769699	34.700407	14.503140	48.735097
91	2.15631164	0.0202241327	53.6406944	95	8.754287	34.671321	14.487728	48.822332
92	2.15563334	0.0433881801	54.1950564	96	8.754287	34.467714	14.514700	48.822332
93	2.15467051	0.0201489266	54.7593615	97	8.727315	34.467714	14.503140	48.735097
94	2.15372554	0.0170700367	55.3151276	98	8.758140	34.584061	14.437637	48.880489
95	2.15289906	0.0206146777	55.8827887	99	8.700343	34.438627	14.399106	48.851410
96	2.15149626	0.0356011332	56.4537957	100	8.765846	34.642234	14.333603	48.473393
97	2.15027173	0.0266375665	57.0156856	101	8.742727	34.729494	14.387547	48.647863
98	2.14941706	0.0143903351	57.5827606	102	8.708049	34.525887	14.368281	48.531550
99	2.14824344	0.0175365761	58.1599934	103	8.700343	34.467714	14.375987	48.444315
100	2.14756267	0.0287468464	58.7246294	104	8.719609	34.729494	14.399106	48.706019
101	2.1466833	0.0187178071	59.2803855	105	8.700343	34.613147	14.360575	48.502472
102	2.14591906	0.0211844785	59.8408866	106	8.692637	34.671321	14.395253	48.502472
103	2.14534149	0.0154585405	60.4017377	107	8.719609	34.700407	14.325897	48.444315
104	2.14490088	0.0146738376	60.9684756	108	8.692637	34.642234	14.345162	48.415237
105	2.14386698	0.0242858838	61.5247545	109	8.681077	34.613147	14.349016	48.444315
106	2.1433642	0.0171456505	62.6631444	111	8.673371	34.613147	14.364428	48.560628
107	2.14298792	0.0124417819	63.2264822	112	8.673371	34.613147	14.372134	48.531550
